fecha;tmin
2009-03-03;298,10
2009-03-04;302,10
2009-03-05;294,00
2009-03-06;294,30
2009-03-07;295,70
2009-03-08;293,40
2009-03-09;294,80
2009-03-10;294,30
2009-03-11;294,30
2009-03-12;293,70
2009-03-13;293,70
2009-03-14;293,10
2009-03-15;294,30
2009-03-16;296,00
2009-03-17;293,00
2009-03-18;289,90
2009-03-19;289,10
2009-03-20;288,10
2009-03-21;291,60
2009-03-22;296,00
2009-03-23;293,70
2009-03-24;291,40
2009-03-25;288,00
2009-03-26;294,60
2009-03-27;292,50
2009-03-28;293,40
2009-03-29;293,20
2009-03-30;293,20
2009-03-31;293,20
2009-04-01;293,50
