fecha;precip
2009-03-03;0,00
2009-03-04;50,98
2009-03-05;0,13
2009-03-06;0,00
2009-03-07;4,90
2009-03-08;0,00
2009-03-09;0,00
2009-03-10;0,45
2009-03-11;0,95
2009-03-12;22,36
2009-03-13;0,06
2009-03-14;32,08
2009-03-15;0,54
2009-03-16;6,33
2009-03-17;34,75
2009-03-18;0,00
2009-03-19;0,00
2009-03-20;0,00
2009-03-21;1,36
2009-03-22;57,52
2009-03-23;16,85
2009-03-24;14,13
2009-03-25;0,86
2009-03-26;0,39
2009-03-27;3,82
2009-03-28;23,61
2009-03-29;6,22
2009-03-30;0,00
2009-03-31;0,02
2009-04-01;0,60
