fecha;hrmean
2009-03-03;58,32
2009-03-04;45,81
2009-03-05;76,98
2009-03-06;51,97
2009-03-07;55,82
2009-03-08;84,71
2009-03-09;99,79
2009-03-10;86,04
2009-03-11;98,82
2009-03-12;97,15
2009-03-13;75,73
2009-03-14;83,18
2009-03-15;87,06
2009-03-16;70,44
2009-03-17;77,20
2009-03-18;77,70
2009-03-19;72,14
2009-03-20;65,98
2009-03-21;61,21
2009-03-22;60,05
2009-03-23;59,92
2009-03-24;62,12
2009-03-25;60,97
2009-03-26;54,36
2009-03-27;54,60
2009-03-28;71,40
2009-03-29;88,38
2009-03-30;84,02
2009-03-31;60,73
2009-04-01;68,60
