fecha;tmin
2009-04-13;291,60
2009-04-14;293,90
2009-04-15;293,50
2009-04-16;296,10
2009-04-17;297,40
2009-04-18;296,80
2009-04-19;293,20
2009-04-20;291,20
2009-04-21;287,80
2009-04-22;284,40
2009-04-23;284,40
2009-04-24;286,40
2009-04-25;285,30
2009-04-26;285,20
2009-04-27;288,20
2009-04-28;292,60
2009-04-29;291,30
2009-04-30;291,20
2009-05-01;290,90
2009-05-02;292,90
2009-05-03;289,90
2009-05-04;287,40
2009-05-05;291,40
2009-05-06;286,80
2009-05-07;284,30
2009-05-08;285,10
2009-05-09;288,10
2009-05-10;287,60
2009-05-11;285,60
2009-05-12;285,70
