fecha;hrmean
2009-04-13;33,19
2009-04-14;33,07
2009-04-15;44,25
2009-04-16;37,78
2009-04-17;32,97
2009-04-18;39,57
2009-04-19;39,09
2009-04-20;39,74
2009-04-21;40,18
2009-04-22;38,10
2009-04-23;40,15
2009-04-24;48,92
2009-04-25;69,64
2009-04-26;38,80
2009-04-27;35,49
2009-04-28;40,78
2009-04-29;55,29
2009-04-30;95,87
2009-05-01;96,81
2009-05-02;94,96
2009-05-03;98,34
2009-05-04;94,05
2009-05-05;75,96
2009-05-06;97,71
2009-05-07;92,42
2009-05-08;98,80
2009-05-09;93,87
2009-05-10;75,58
2009-05-11;68,02
2009-05-12;93,04
