fecha;radsup
2009-04-28;16,84
2009-04-29;15,04
2009-04-30;16,28
2009-05-01;16,28
2009-05-02;3,94
2009-05-03;14,33
2009-05-04;6,37
2009-05-05;4,36
2009-05-06;3,37
2009-05-07;14,89
2009-05-08;15,70
2009-05-09;14,15
2009-05-10;16,02
2009-05-11;16,08
2009-05-12;15,37
2009-05-13;15,24
2009-05-14;12,26
2009-05-15;5,83
2009-05-16;13,02
2009-05-17;6,08
2009-05-18;4,93
2009-05-19;3,88
2009-05-20;2,33
2009-05-21;12,57
2009-05-22;11,26
2009-05-23;9,21
2009-05-24;13,74
2009-05-25;14,17
2009-05-26;13,04
2009-05-27;13,70
