fecha;tmin
2003-03-24;291,20
2003-03-25;293,30
2003-03-26;293,70
2003-03-27;296,00
2003-03-28;296,70
2003-03-29;297,30
2003-03-30;296,60
2003-03-31;287,40
2003-04-01;286,70
2003-04-02;287,30
2003-04-03;286,80
2003-04-04;289,80
2003-04-05;290,80
2003-04-06;285,00
2003-04-07;283,10
2003-04-08;283,10
2003-04-09;285,60
2003-04-10;285,00
2003-04-11;286,90
2003-04-12;290,30
2003-04-13;291,00
2003-04-14;292,30
2003-04-15;293,70
2003-04-16;295,10
2003-04-17;294,90
2003-04-18;296,40
2003-04-19;299,10
2003-04-20;299,10
2003-04-21;284,90
2003-04-22;284,90
