fecha;hrmean
2003-03-24;78,08
2003-03-25;70,63
2003-03-26;70,38
2003-03-27;64,74
2003-03-28;66,22
2003-03-29;64,79
2003-03-30;98,90
2003-03-31;96,96
2003-04-01;92,17
2003-04-02;85,27
2003-04-03;89,45
2003-04-04;93,90
2003-04-05;97,46
2003-04-06;80,04
2003-04-07;75,06
2003-04-08;81,08
2003-04-09;86,53
2003-04-10;85,09
2003-04-11;90,10
2003-04-12;94,47
2003-04-13;89,64
2003-04-14;77,75
2003-04-15;68,62
2003-04-16;76,61
2003-04-17;83,48
2003-04-18;77,65
2003-04-19;72,33
2003-04-20;73,91
2003-04-21;79,98
2003-04-22;82,16
