fecha;radsup
2008-12-03;28,76
2008-12-04;28,35
2008-12-05;29,68
2008-12-06;29,45
2008-12-07;29,67
2008-12-08;27,32
2008-12-09;20,43
2008-12-10;16,10
2008-12-11;26,26
2008-12-12;29,21
2008-12-13;17,19
2008-12-14;29,42
2008-12-15;28,83
2008-12-16;16,33
2008-12-17;10,76
2008-12-18;15,62
2008-12-19;27,06
2008-12-20;30,10
2008-12-21;30,19
2008-12-22;30,02
2008-12-23;29,57
2008-12-24;18,62
2008-12-25;18,60
2008-12-26;27,34
2008-12-27;12,10
2008-12-28;19,59
2008-12-29;19,48
2008-12-30;25,43
2008-12-31;29,21
2009-01-01;26,31
