fecha;tmin
2008-12-03;289,10
2008-12-04;288,20
2008-12-05;290,40
2008-12-06;291,40
2008-12-07;292,40
2008-12-08;293,80
2008-12-09;293,70
2008-12-10;294,50
2008-12-11;293,00
2008-12-12;291,80
2008-12-13;296,70
2008-12-14;295,90
2008-12-15;299,70
2008-12-16;298,30
2008-12-17;298,80
2008-12-18;296,60
2008-12-19;296,10
2008-12-20;296,10
2008-12-21;295,00
2008-12-22;295,10
2008-12-23;296,70
2008-12-24;297,20
2008-12-25;299,60
2008-12-26;303,40
2008-12-27;305,20
2008-12-28;300,80
2008-12-29;298,50
2008-12-30;299,60
2008-12-31;303,10
2009-01-01;294,80
