fecha;hrmean
2003-01-20;80,16
2003-01-21;71,37
2003-01-22;59,35
2003-01-23;65,37
2003-01-24;49,54
2003-01-25;53,97
2003-01-26;58,93
2003-01-27;54,28
2003-01-28;53,69
2003-01-29;50,57
2003-01-30;51,55
2003-01-31;44,87
2003-02-01;46,01
2003-02-02;43,27
2003-02-03;45,49
2003-02-04;39,10
2003-02-05;38,29
2003-02-06;46,80
2003-02-07;85,86
2003-02-08;79,77
2003-02-09;60,82
2003-02-10;55,40
2003-02-11;50,60
2003-02-12;48,94
2003-02-13;59,39
2003-02-14;57,33
2003-02-15;49,05
2003-02-16;42,41
2003-02-17;38,40
2003-02-18;41,76
