fecha;hrmean
2003-01-20;85,01
2003-01-21;88,94
2003-01-22;77,43
2003-01-23;95,77
2003-01-24;83,05
2003-01-25;81,76
2003-01-26;75,35
2003-01-27;76,15
2003-01-28;74,92
2003-01-29;72,34
2003-01-30;63,62
2003-01-31;58,30
2003-02-01;60,92
2003-02-02;53,39
2003-02-03;54,82
2003-02-04;76,62
2003-02-05;98,50
2003-02-06;90,10
2003-02-07;83,66
2003-02-08;72,23
2003-02-09;65,72
2003-02-10;74,26
2003-02-11;88,21
2003-02-12;84,67
2003-02-13;83,77
2003-02-14;78,61
2003-02-15;69,51
2003-02-16;65,18
2003-02-17;57,87
2003-02-18;52,69
