fecha;hrmean
2009-01-28;87,05
2009-01-29;66,70
2009-01-30;43,38
2009-01-31;34,89
2009-02-01;49,44
2009-02-02;76,03
2009-02-03;84,26
2009-02-04;75,72
2009-02-05;49,65
2009-02-06;79,13
2009-02-07;77,96
2009-02-08;84,32
2009-02-09;89,65
2009-02-10;61,99
2009-02-11;44,13
2009-02-12;45,24
2009-02-13;44,56
2009-02-14;41,26
2009-02-15;34,65
2009-02-16;35,39
2009-02-17;46,22
2009-02-18;54,79
2009-02-19;78,03
2009-02-20;52,08
2009-02-21;65,52
2009-02-22;66,99
2009-02-23;63,68
2009-02-24;73,76
2009-02-25;65,04
2009-02-26;54,81
