fecha;precip
2009-01-28;0,04
2009-01-29;0,00
2009-01-30;0,00
2009-01-31;0,00
2009-02-01;0,00
2009-02-02;0,15
2009-02-03;1,23
2009-02-04;0,35
2009-02-05;0,09
2009-02-06;0,00
2009-02-07;1,94
2009-02-08;14,41
2009-02-09;15,34
2009-02-10;14,06
2009-02-11;17,13
2009-02-12;1,81
2009-02-13;0,65
2009-02-14;0,04
2009-02-15;2,18
2009-02-16;0,00
2009-02-17;11,84
2009-02-18;20,71
2009-02-19;7,02
2009-02-20;1,12
2009-02-21;0,17
2009-02-22;0,00
2009-02-23;2,89
2009-02-24;11,06
2009-02-25;1,75
2009-02-26;0,41
