fecha;precip
2009-01-28;0,00
2009-01-29;0,00
2009-01-30;0,00
2009-01-31;0,00
2009-02-01;0,50
2009-02-02;39,20
2009-02-03;1,79
2009-02-04;22,23
2009-02-05;38,79
2009-02-06;0,17
2009-02-07;2,16
2009-02-08;0,00
2009-02-09;0,00
2009-02-10;0,00
2009-02-11;0,00
2009-02-12;0,06
2009-02-13;0,00
2009-02-14;0,00
2009-02-15;36,44
2009-02-16;12,53
2009-02-17;7,06
2009-02-18;1,73
2009-02-19;33,35
2009-02-20;9,33
2009-02-21;15,96
2009-02-22;10,26
2009-02-23;3,91
2009-02-24;1,75
2009-02-25;1,97
2009-02-26;3,93
