fecha;tmax
2008-12-22;315,40
2008-12-23;306,20
2008-12-24;308,60
2008-12-25;309,80
2008-12-26;309,10
2008-12-27;300,90
2008-12-28;308,60
2008-12-29;309,00
2008-12-30;313,80
2008-12-31;315,10
2009-01-01;311,10
2009-01-02;305,30
2009-01-03;301,30
2009-01-04;304,10
2009-01-05;306,70
2009-01-06;308,10
2009-01-07;315,70
2009-01-08;315,10
2009-01-09;309,70
2009-01-10;309,90
2009-01-11;312,40
2009-01-12;318,40
2009-01-13;312,60
2009-01-14;316,30
2009-01-15;316,50
2009-01-16;311,50
2009-01-17;313,10
2009-01-18;313,50
2009-01-19;315,60
2009-01-20;318,60
