fecha;tmin
2008-12-22;301,50
2008-12-23;297,10
2008-12-24;296,00
2008-12-25;296,50
2008-12-26;296,80
2008-12-27;294,70
2008-12-28;296,10
2008-12-29;298,00
2008-12-30;299,80
2008-12-31;298,60
2009-01-01;294,50
2009-01-02;293,20
2009-01-03;291,10
2009-01-04;292,90
2009-01-05;293,40
2009-01-06;298,00
2009-01-07;298,40
2009-01-08;303,20
2009-01-09;295,10
2009-01-10;291,90
2009-01-11;305,50
2009-01-12;304,60
2009-01-13;303,30
2009-01-14;299,70
2009-01-15;297,90
2009-01-16;296,10
2009-01-17;298,10
2009-01-18;301,40
2009-01-19;301,60
2009-01-20;304,30
