fecha;radsup
2008-12-22;17,27
2008-12-23;7,04
2008-12-24;21,08
2008-12-25;27,11
2008-12-26;17,89
2008-12-27;27,54
2008-12-28;29,67
2008-12-29;25,59
2008-12-30;14,73
2008-12-31;9,96
2009-01-01;18,74
2009-01-02;13,65
2009-01-03;28,82
2009-01-04;29,23
2009-01-05;16,73
2009-01-06;27,57
2009-01-07;28,91
2009-01-08;24,43
2009-01-09;13,66
2009-01-10;18,77
2009-01-11;27,78
2009-01-12;24,70
2009-01-13;29,55
2009-01-14;28,11
2009-01-15;26,94
2009-01-16;28,08
2009-01-17;22,18
2009-01-18;25,02
2009-01-19;16,48
2009-01-20;19,14
