fecha;radsup
2008-12-22;15,90
2008-12-23;8,50
2008-12-24;16,01
2008-12-25;26,74
2008-12-26;23,28
2008-12-27;24,74
2008-12-28;21,38
2008-12-29;21,86
2008-12-30;14,88
2008-12-31;9,12
2009-01-01;3,09
2009-01-02;14,58
2009-01-03;29,81
2009-01-04;29,98
2009-01-05;20,33
2009-01-06;25,96
2009-01-07;4,62
2009-01-08;7,60
2009-01-09;11,87
2009-01-10;11,53
2009-01-11;14,57
2009-01-12;16,58
2009-01-13;16,59
2009-01-14;19,57
2009-01-15;28,09
2009-01-16;28,03
2009-01-17;21,96
2009-01-18;23,74
2009-01-19;21,09
2009-01-20;25,98
