fecha;tmax
2003-03-17;299,60
2003-03-18;302,70
2003-03-19;304,50
2003-03-20;305,60
2003-03-21;302,20
2003-03-22;299,20
2003-03-23;298,80
2003-03-24;303,40
2003-03-25;304,10
2003-03-26;306,00
2003-03-27;306,00
2003-03-28;305,60
2003-03-29;304,60
2003-03-30;305,90
2003-03-31;305,70
2003-04-01;306,90
2003-04-02;307,30
2003-04-03;307,10
2003-04-04;306,50
2003-04-05;306,90
2003-04-06;307,80
2003-04-07;307,20
2003-04-08;299,50
2003-04-09;298,10
2003-04-10;299,80
2003-04-11;293,80
2003-04-12;290,80
2003-04-13;294,30
2003-04-14;295,30
2003-04-15;296,80
