fecha;hrmean
2008-12-01;62,49
2008-12-02;46,14
2008-12-03;38,37
2008-12-04;41,98
2008-12-05;41,28
2008-12-06;37,50
2008-12-07;36,32
2008-12-08;67,36
2008-12-09;59,25
2008-12-10;48,88
2008-12-11;32,71
2008-12-12;36,40
2008-12-13;42,53
2008-12-14;38,67
2008-12-15;34,13
2008-12-16;55,28
2008-12-17;82,10
2008-12-18;82,12
2008-12-19;76,81
2008-12-20;41,43
2008-12-21;38,31
2008-12-22;45,31
2008-12-23;45,27
2008-12-24;37,01
2008-12-25;42,61
2008-12-26;40,80
2008-12-27;51,20
2008-12-28;87,93
2008-12-29;69,33
2008-12-30;43,80
