fecha;radsup
2009-03-09;17,04
2009-03-10;20,43
2009-03-11;22,07
2009-03-12;23,06
2009-03-13;20,49
2009-03-14;22,70
2009-03-15;22,49
2009-03-16;16,46
2009-03-17;17,63
2009-03-18;13,64
2009-03-19;21,88
2009-03-20;22,81
2009-03-21;22,49
2009-03-22;20,75
2009-03-23;20,89
2009-03-24;17,58
2009-03-25;5,25
2009-03-26;10,63
2009-03-27;6,76
2009-03-28;8,71
2009-03-29;11,20
2009-03-30;19,77
2009-03-31;19,29
2009-04-01;20,86
2009-04-02;19,94
2009-04-03;11,24
2009-04-04;16,05
2009-04-05;6,02
2009-04-06;3,54
2009-04-07;12,20
