fecha;tmax
2009-03-09;303,50
2009-03-10;303,30
2009-03-11;305,70
2009-03-12;308,90
2009-03-13;309,30
2009-03-14;312,50
2009-03-15;310,90
2009-03-16;311,30
2009-03-17;310,10
2009-03-18;306,00
2009-03-19;306,00
2009-03-20;304,90
2009-03-21;306,70
2009-03-22;308,40
2009-03-23;309,20
2009-03-24;305,70
2009-03-25;301,10
2009-03-26;304,30
2009-03-27;299,70
2009-03-28;300,60
2009-03-29;304,60
2009-03-30;304,40
2009-03-31;302,70
2009-04-01;301,70
2009-04-02;302,60
2009-04-03;302,40
2009-04-04;304,20
2009-04-05;300,30
2009-04-06;295,10
2009-04-07;299,00
