fecha;tmax
2009-04-20;297,50
2009-04-21;292,90
2009-04-22;292,00
2009-04-23;299,40
2009-04-24;299,50
2009-04-25;297,90
2009-04-26;293,90
2009-04-27;299,20
2009-04-28;300,10
2009-04-29;300,50
2009-04-30;297,60
2009-05-01;295,60
2009-05-02;298,60
2009-05-03;299,80
2009-05-04;299,80
2009-05-05;299,00
2009-05-06;300,10
2009-05-07;300,70
2009-05-08;302,90
2009-05-09;298,90
2009-05-10;298,20
2009-05-11;294,10
2009-05-12;297,30
2009-05-13;294,00
2009-05-14;295,80
2009-05-15;294,90
2009-05-16;301,20
2009-05-17;300,70
2009-05-18;303,00
2009-05-19;302,50
