fecha;hrmean
2009-04-20;57,55
2009-04-21;48,67
2009-04-22;73,12
2009-04-23;69,43
2009-04-24;42,74
2009-04-25;53,80
2009-04-26;81,82
2009-04-27;58,63
2009-04-28;79,43
2009-04-29;55,57
2009-04-30;48,46
2009-05-01;41,34
2009-05-02;33,09
2009-05-03;50,39
2009-05-04;52,68
2009-05-05;51,33
2009-05-06;49,22
2009-05-07;50,83
2009-05-08;52,99
2009-05-09;52,00
2009-05-10;54,95
2009-05-11;48,69
2009-05-12;47,22
2009-05-13;48,05
2009-05-14;54,83
2009-05-15;85,51
2009-05-16;78,54
2009-05-17;88,30
2009-05-18;74,37
2009-05-19;66,91
