fecha;hrmean
2003-01-06;71,00
2003-01-07;63,10
2003-01-08;65,94
2003-01-09;86,84
2003-01-10;91,17
2003-01-11;72,90
2003-01-12;79,40
2003-01-13;80,91
2003-01-14;71,08
2003-01-15;63,73
2003-01-16;67,67
2003-01-17;61,86
2003-01-18;58,34
2003-01-19;59,55
2003-01-20;69,10
2003-01-21;85,05
2003-01-22;91,78
2003-01-23;94,20
2003-01-24;78,26
2003-01-25;67,79
2003-01-26;69,87
2003-01-27;65,04
2003-01-28;59,76
2003-01-29;56,25
2003-01-30;54,00
2003-01-31;65,01
2003-02-01;60,71
2003-02-02;68,83
2003-02-03;54,54
2003-02-04;44,65
