fecha;precip
2003-01-06;0,00
2003-01-07;0,00
2003-01-08;0,00
2003-01-09;23,20
2003-01-10;18,08
2003-01-11;0,00
2003-01-12;0,00
2003-01-13;2,46
2003-01-14;18,17
2003-01-15;36,20
2003-01-16;6,87
2003-01-17;2,42
2003-01-18;4,23
2003-01-19;18,42
2003-01-20;114,83
2003-01-21;1,14
2003-01-22;3,02
2003-01-23;0,00
2003-01-24;2,07
2003-01-25;0,02
2003-01-26;1,19
2003-01-27;4,38
2003-01-28;32,53
2003-01-29;5,81
2003-01-30;0,00
2003-01-31;0,39
2003-02-01;2,05
2003-02-02;6,98
2003-02-03;0,43
2003-02-04;0,00
