fecha;tmax
2003-01-13;305,60
2003-01-14;306,10
2003-01-15;311,20
2003-01-16;311,00
2003-01-17;311,10
2003-01-18;305,10
2003-01-19;302,80
2003-01-20;305,70
2003-01-21;302,70
2003-01-22;307,00
2003-01-23;308,60
2003-01-24;305,10
2003-01-25;303,00
2003-01-26;307,20
2003-01-27;311,20
2003-01-28;302,50
2003-01-29;302,20
2003-01-30;304,70
2003-01-31;310,00
2003-02-01;309,50
2003-02-02;310,40
2003-02-03;311,10
2003-02-04;313,70
2003-02-05;311,80
2003-02-06;313,10
2003-02-07;313,30
2003-02-08;309,80
2003-02-09;315,20
2003-02-10;311,80
2003-02-11;307,00
