fecha;tmax
2003-01-13;304,30
2003-01-14;306,20
2003-01-15;304,80
2003-01-16;304,20
2003-01-17;300,10
2003-01-18;298,80
2003-01-19;298,30
2003-01-20;302,80
2003-01-21;301,40
2003-01-22;307,40
2003-01-23;306,30
2003-01-24;307,10
2003-01-25;308,60
2003-01-26;310,30
2003-01-27;312,40
2003-01-28;304,70
2003-01-29;308,40
2003-01-30;307,90
2003-01-31;298,30
2003-02-01;300,10
2003-02-02;310,00
2003-02-03;304,20
2003-02-04;306,60
2003-02-05;307,60
2003-02-06;307,80
2003-02-07;310,40
2003-02-08;309,40
2003-02-09;307,80
2003-02-10;306,00
2003-02-11;304,90
