fecha;tmin
2009-04-27;290,50
2009-04-28;289,80
2009-04-29;291,80
2009-04-30;292,40
2009-05-01;292,60
2009-05-02;292,20
2009-05-03;293,50
2009-05-04;291,80
2009-05-05;291,20
2009-05-06;289,70
2009-05-07;285,80
2009-05-08;283,00
2009-05-09;283,60
2009-05-10;284,90
2009-05-11;284,50
2009-05-12;286,40
2009-05-13;285,00
2009-05-14;285,80
2009-05-15;288,60
2009-05-16;292,10
2009-05-17;294,40
2009-05-18;292,10
2009-05-19;289,70
2009-05-20;289,60
2009-05-21;294,20
2009-05-22;295,00
2009-05-23;293,80
2009-05-24;291,50
2009-05-25;291,60
2009-05-26;294,50
