fecha;precip
2009-02-02;37,09
2009-02-03;22,66
2009-02-04;24,49
2009-02-05;4,84
2009-02-06;0,22
2009-02-07;17,41
2009-02-08;2,57
2009-02-09;13,09
2009-02-10;0,22
2009-02-11;31,92
2009-02-12;16,24
2009-02-13;0,00
2009-02-14;0,00
2009-02-15;0,00
2009-02-16;0,00
2009-02-17;0,00
2009-02-18;0,00
2009-02-19;2,87
2009-02-20;19,74
2009-02-21;5,96
2009-02-22;52,01
2009-02-23;0,02
2009-02-24;1,08
2009-02-25;0,35
2009-02-26;72,12
2009-02-27;13,33
2009-02-28;7,52
2009-03-01;0,00
2009-03-02;0,00
2009-03-03;0,02
