fecha;tmax
2009-02-02;308,50
2009-02-03;301,60
2009-02-04;299,00
2009-02-05;301,40
2009-02-06;298,30
2009-02-07;302,80
2009-02-08;302,90
2009-02-09;304,10
2009-02-10;305,50
2009-02-11;310,10
2009-02-12;310,20
2009-02-13;302,70
2009-02-14;307,80
2009-02-15;308,80
2009-02-16;302,70
2009-02-17;303,70
2009-02-18;305,70
2009-02-19;308,70
2009-02-20;313,40
2009-02-21;305,10
2009-02-22;309,90
2009-02-23;306,10
2009-02-24;300,80
2009-02-25;304,00
2009-02-26;304,90
2009-02-27;309,20
2009-02-28;309,10
2009-03-01;306,70
2009-03-02;295,90
2009-03-03;293,50
