fecha;precip
2009-02-02;3,07
2009-02-03;59,83
2009-02-04;8,04
2009-02-05;8,70
2009-02-06;6,07
2009-02-07;118,48
2009-02-08;3,65
2009-02-09;22,42
2009-02-10;3,56
2009-02-11;0,60
2009-02-12;31,49
2009-02-13;63,87
2009-02-14;0,00
2009-02-15;0,00
2009-02-16;0,06
2009-02-17;0,00
2009-02-18;0,00
2009-02-19;0,00
2009-02-20;0,02
2009-02-21;3,84
2009-02-22;14,08
2009-02-23;0,39
2009-02-24;1,06
2009-02-25;1,12
2009-02-26;2,48
2009-02-27;15,12
2009-02-28;9,48
2009-03-01;3,59
2009-03-02;0,00
2009-03-03;0,00
