fecha;precip
2009-02-02;14,45
2009-02-03;2,66
2009-02-04;74,22
2009-02-05;0,24
2009-02-06;0,00
2009-02-07;32,51
2009-02-08;59,12
2009-02-09;9,37
2009-02-10;10,50
2009-02-11;0,09
2009-02-12;4,36
2009-02-13;0,00
2009-02-14;0,00
2009-02-15;1,68
2009-02-16;3,95
2009-02-17;5,64
2009-02-18;24,69
2009-02-19;0,37
2009-02-20;0,00
2009-02-21;16,52
2009-02-22;53,70
2009-02-23;1,43
2009-02-24;0,30
2009-02-25;0,00
2009-02-26;12,90
2009-02-27;4,26
2009-02-28;0,26
2009-03-01;0,04
2009-03-02;7,41
2009-03-03;0,00
