fecha;precip
2009-02-02;12,38
2009-02-03;4,38
2009-02-04;72,34
2009-02-05;3,41
2009-02-06;55,04
2009-02-07;35,58
2009-02-08;25,60
2009-02-09;3,11
2009-02-10;0,22
2009-02-11;0,00
2009-02-12;0,00
2009-02-13;0,58
2009-02-14;0,15
2009-02-15;0,45
2009-02-16;6,63
2009-02-17;13,24
2009-02-18;0,52
2009-02-19;6,18
2009-02-20;1,30
2009-02-21;1,08
2009-02-22;0,50
2009-02-23;0,56
2009-02-24;4,62
2009-02-25;2,12
2009-02-26;25,32
2009-02-27;0,04
2009-02-28;13,52
2009-03-01;0,15
2009-03-02;16,68
2009-03-03;73,42
