fecha;tmax
2008-12-17;309,40
2008-12-18;310,70
2008-12-19;312,50
2008-12-20;314,90
2008-12-21;314,90
2008-12-22;313,70
2008-12-23;307,90
2008-12-24;303,80
2008-12-25;307,20
2008-12-26;310,00
2008-12-27;314,90
2008-12-28;305,90
2008-12-29;310,40
2008-12-30;304,40
2008-12-31;306,90
2009-01-01;306,80
2009-01-02;308,90
2009-01-03;308,70
2009-01-04;306,30
2009-01-05;304,70
2009-01-06;305,60
2009-01-07;306,40
2009-01-08;306,10
2009-01-09;305,50
2009-01-10;305,60
2009-01-11;308,00
2009-01-12;311,60
2009-01-13;312,30
2009-01-14;313,70
2009-01-15;310,70
