fecha;hrmean
2008-12-17;38,42
2008-12-18;40,15
2008-12-19;38,23
2008-12-20;34,79
2008-12-21;33,73
2008-12-22;33,37
2008-12-23;61,88
2008-12-24;43,38
2008-12-25;35,46
2008-12-26;34,79
2008-12-27;31,65
2008-12-28;62,22
2008-12-29;46,83
2008-12-30;37,16
2008-12-31;37,57
2009-01-01;53,10
2009-01-02;52,40
2009-01-03;44,19
2009-01-04;43,45
2009-01-05;44,14
2009-01-06;51,41
2009-01-07;43,36
2009-01-08;61,83
2009-01-09;49,20
2009-01-10;47,21
2009-01-11;44,67
2009-01-12;42,37
2009-01-13;43,83
2009-01-14;43,15
2009-01-15;53,52
