fecha;radsup
2008-12-17;29,30
2008-12-18;28,94
2008-12-19;19,47
2008-12-20;25,54
2008-12-21;20,69
2008-12-22;14,15
2008-12-23;10,54
2008-12-24;4,48
2008-12-25;25,86
2008-12-26;29,55
2008-12-27;27,61
2008-12-28;17,99
2008-12-29;19,37
2008-12-30;21,40
2008-12-31;30,57
2009-01-01;30,23
2009-01-02;29,64
2009-01-03;29,52
2009-01-04;29,34
2009-01-05;29,01
2009-01-06;24,49
2009-01-07;21,04
2009-01-08;22,12
2009-01-09;16,82
2009-01-10;22,31
2009-01-11;26,22
2009-01-12;21,59
2009-01-13;15,45
2009-01-14;15,71
2009-01-15;16,14
