fecha;radsup
2008-12-17;29,04
2008-12-18;29,38
2008-12-19;27,29
2008-12-20;24,26
2008-12-21;20,28
2008-12-22;19,79
2008-12-23;4,39
2008-12-24;15,97
2008-12-25;26,07
2008-12-26;22,97
2008-12-27;28,09
2008-12-28;5,58
2008-12-29;23,21
2008-12-30;29,75
2008-12-31;27,08
2009-01-01;26,60
2009-01-02;7,08
2009-01-03;23,60
2009-01-04;21,06
2009-01-05;28,05
2009-01-06;29,09
2009-01-07;29,08
2009-01-08;24,01
2009-01-09;25,87
2009-01-10;21,46
2009-01-11;24,18
2009-01-12;6,68
2009-01-13;3,76
2009-01-14;28,46
2009-01-15;18,44
