fecha;hrmean
2009-03-31;38,96
2009-04-01;40,05
2009-04-02;44,31
2009-04-03;35,86
2009-04-04;46,88
2009-04-05;70,62
2009-04-06;54,37
2009-04-07;48,99
2009-04-08;44,66
2009-04-09;42,24
2009-04-10;38,95
2009-04-11;37,91
2009-04-12;39,24
2009-04-13;38,80
2009-04-14;36,74
2009-04-15;37,74
2009-04-16;87,88
2009-04-17;80,02
2009-04-18;80,94
2009-04-19;59,22
2009-04-20;48,06
2009-04-21;48,52
2009-04-22;51,91
2009-04-23;42,29
2009-04-24;47,43
2009-04-25;39,19
2009-04-26;37,07
2009-04-27;38,76
2009-04-28;42,59
2009-04-29;60,41
