fecha;tmax
2009-03-31;311,70
2009-04-01;307,50
2009-04-02;310,70
2009-04-03;309,10
2009-04-04;306,20
2009-04-05;307,70
2009-04-06;310,20
2009-04-07;308,70
2009-04-08;311,60
2009-04-09;307,70
2009-04-10;310,80
2009-04-11;312,30
2009-04-12;311,30
2009-04-13;308,80
2009-04-14;308,50
2009-04-15;307,60
2009-04-16;302,40
2009-04-17;289,60
2009-04-18;291,00
2009-04-19;298,30
2009-04-20;300,60
2009-04-21;299,10
2009-04-22;300,80
2009-04-23;294,90
2009-04-24;295,20
2009-04-25;298,70
2009-04-26;299,90
2009-04-27;303,20
2009-04-28;303,80
2009-04-29;302,20
