fecha;tmax
2002-12-16;310,60
2002-12-17;306,40
2002-12-18;307,00
2002-12-19;304,80
2002-12-20;301,00
2002-12-21;308,30
2002-12-22;309,90
2002-12-23;310,20
2002-12-24;311,70
2002-12-25;312,80
2002-12-26;312,60
2002-12-27;311,80
2002-12-28;305,00
2002-12-29;302,70
2002-12-30;304,80
2002-12-31;305,30
2003-01-01;310,50
2003-01-02;302,40
2003-01-03;303,50
2003-01-04;303,60
2003-01-05;304,60
2003-01-06;305,30
2003-01-07;306,20
2003-01-08;306,10
2003-01-09;302,00
2003-01-10;298,20
2003-01-11;303,50
2003-01-12;305,30
2003-01-13;304,20
2003-01-14;301,60
