fecha;tmin
2002-12-16;294,00
2002-12-17;295,60
2002-12-18;291,30
2002-12-19;291,80
2002-12-20;299,20
2002-12-21;300,70
2002-12-22;301,20
2002-12-23;301,30
2002-12-24;302,70
2002-12-25;304,20
2002-12-26;294,70
2002-12-27;293,40
2002-12-28;298,10
2002-12-29;300,40
2002-12-30;304,90
2002-12-31;296,80
2003-01-01;293,90
2003-01-02;297,90
2003-01-03;297,30
2003-01-04;296,90
2003-01-05;295,90
2003-01-06;297,20
2003-01-07;295,10
2003-01-08;296,10
2003-01-09;298,00
2003-01-10;297,50
2003-01-11;301,10
2003-01-12;303,00
2003-01-13;304,10
2003-01-14;303,00
