fecha;radsup
2002-12-16;28,51
2002-12-17;14,13
2002-12-18;24,04
2002-12-19;11,30
2002-12-20;12,24
2002-12-21;17,74
2002-12-22;24,69
2002-12-23;27,62
2002-12-24;24,34
2002-12-25;27,58
2002-12-26;25,29
2002-12-27;5,32
2002-12-28;15,36
2002-12-29;19,47
2002-12-30;3,90
2002-12-31;25,36
2003-01-01;29,13
2003-01-02;18,68
2003-01-03;28,93
2003-01-04;28,55
2003-01-05;27,80
2003-01-06;21,72
2003-01-07;23,02
2003-01-08;21,45
2003-01-09;28,30
2003-01-10;28,09
2003-01-11;23,71
2003-01-12;21,38
2003-01-13;13,48
2003-01-14;12,41
