fecha;tmin
2003-05-19;287,60
2003-05-20;287,80
2003-05-21;290,60
2003-05-22;291,40
2003-05-23;285,80
2003-05-24;284,90
2003-05-25;288,70
2003-05-26;286,20
2003-05-27;286,80
2003-05-28;280,70
2003-05-29;279,40
2003-05-30;287,30
2003-05-31;290,10
2003-06-01;289,20
2003-06-02;291,60
2003-06-03;294,40
2003-06-04;295,40
2003-06-05;295,60
2003-06-06;295,50
2003-06-07;294,30
2003-06-08;286,60
2003-06-09;284,10
2003-06-10;284,40
2003-06-11;282,10
2003-06-12;281,80
2003-06-13;281,90
2003-06-14;282,80
2003-06-15;288,20
2003-06-16;291,20
2003-06-17;294,20
