fecha;radsup
2003-05-19;7,03
2003-05-20;12,10
2003-05-21;13,10
2003-05-22;13,05
2003-05-23;10,52
2003-05-24;8,11
2003-05-25;3,51
2003-05-26;4,25
2003-05-27;6,36
2003-05-28;3,55
2003-05-29;7,91
2003-05-30;12,70
2003-05-31;5,90
2003-06-01;3,33
2003-06-02;9,67
2003-06-03;3,32
2003-06-04;2,91
2003-06-05;1,31
2003-06-06;3,68
2003-06-07;9,05
2003-06-08;9,79
2003-06-09;11,72
2003-06-10;7,90
2003-06-11;5,57
2003-06-12;0,51
2003-06-13;13,44
2003-06-14;12,50
2003-06-15;12,76
2003-06-16;13,03
2003-06-17;12,76
