fecha;tmax
2003-05-19;295,60
2003-05-20;297,90
2003-05-21;298,10
2003-05-22;300,20
2003-05-23;295,60
2003-05-24;295,40
2003-05-25;292,30
2003-05-26;286,70
2003-05-27;286,00
2003-05-28;287,30
2003-05-29;289,00
2003-05-30;291,70
2003-05-31;292,70
2003-06-01;292,70
2003-06-02;294,00
2003-06-03;293,50
2003-06-04;287,10
2003-06-05;286,30
2003-06-06;285,50
2003-06-07;286,90
2003-06-08;282,70
2003-06-09;287,00
2003-06-10;287,60
2003-06-11;289,10
2003-06-12;289,20
2003-06-13;289,90
2003-06-14;288,10
2003-06-15;289,60
2003-06-16;285,70
2003-06-17;285,20
