fecha;hrmean
2003-02-17;49,56
2003-02-18;54,60
2003-02-19;88,06
2003-02-20;96,89
2003-02-21;65,70
2003-02-22;69,54
2003-02-23;70,25
2003-02-24;73,61
2003-02-25;71,41
2003-02-26;67,88
2003-02-27;61,68
2003-02-28;59,43
2003-03-01;59,06
2003-03-02;73,52
2003-03-03;61,93
2003-03-04;64,81
2003-03-05;65,89
2003-03-06;66,55
2003-03-07;60,94
2003-03-08;70,52
2003-03-09;65,17
2003-03-10;66,74
2003-03-11;69,80
2003-03-12;90,02
2003-03-13;98,63
2003-03-14;82,80
2003-03-15;66,83
2003-03-16;86,68
2003-03-17;73,59
2003-03-18;80,58
