fecha;tmax
2009-03-10;303,50
2009-03-11;302,90
2009-03-12;306,20
2009-03-13;308,80
2009-03-14;310,00
2009-03-15;307,90
2009-03-16;303,30
2009-03-17;298,10
2009-03-18;300,60
2009-03-19;303,90
2009-03-20;302,10
2009-03-21;306,20
2009-03-22;305,70
2009-03-23;297,30
2009-03-24;301,90
2009-03-25;299,50
2009-03-26;303,10
2009-03-27;304,40
2009-03-28;304,70
2009-03-29;305,10
2009-03-30;304,90
2009-03-31;302,30
2009-04-01;304,00
2009-04-02;305,20
2009-04-03;300,30
2009-04-04;302,90
2009-04-05;303,80
2009-04-06;301,60
2009-04-07;303,50
2009-04-08;302,70
