fecha;hrmean
2002-12-30;83,19
2002-12-31;96,21
2003-01-01;95,71
2003-01-02;93,12
2003-01-03;95,25
2003-01-04;87,84
2003-01-05;79,10
2003-01-06;74,47
2003-01-07;75,26
2003-01-08;69,63
2003-01-09;89,13
2003-01-10;96,10
2003-01-11;89,64
2003-01-12;78,19
2003-01-13;75,47
2003-01-14;78,49
2003-01-15;91,01
2003-01-16;90,42
2003-01-17;87,97
2003-01-18;88,58
2003-01-19;92,36
2003-01-20;90,30
2003-01-21;85,66
2003-01-22;75,81
2003-01-23;70,20
2003-01-24;66,66
2003-01-25;68,77
2003-01-26;67,21
2003-01-27;69,21
2003-01-28;69,97
