fecha;tmin
2002-12-30;296,90
2002-12-31;296,40
2003-01-01;296,40
2003-01-02;295,40
2003-01-03;295,10
2003-01-04;294,10
2003-01-05;295,00
2003-01-06;293,40
2003-01-07;287,90
2003-01-08;288,10
2003-01-09;290,40
2003-01-10;293,50
2003-01-11;295,50
2003-01-12;294,20
2003-01-13;291,90
2003-01-14;293,50
2003-01-15;292,60
2003-01-16;294,30
2003-01-17;295,50
2003-01-18;296,20
2003-01-19;293,00
2003-01-20;293,20
2003-01-21;293,30
2003-01-22;292,70
2003-01-23;294,50
2003-01-24;294,10
2003-01-25;293,00
2003-01-26;294,20
2003-01-27;294,60
2003-01-28;292,60
