fecha;radsup
2002-12-30;16,42
2002-12-31;10,44
2003-01-01;13,41
2003-01-02;16,99
2003-01-03;21,66
2003-01-04;29,05
2003-01-05;11,48
2003-01-06;3,78
2003-01-07;27,68
2003-01-08;29,15
2003-01-09;29,48
2003-01-10;26,85
2003-01-11;18,19
2003-01-12;24,40
2003-01-13;23,43
2003-01-14;25,37
2003-01-15;27,99
2003-01-16;28,02
2003-01-17;26,27
2003-01-18;26,34
2003-01-19;26,30
2003-01-20;26,32
2003-01-21;23,59
2003-01-22;25,36
2003-01-23;23,70
2003-01-24;22,51
2003-01-25;20,11
2003-01-26;22,66
2003-01-27;17,84
2003-01-28;22,37
