fecha;tmin
2002-12-30;296,70
2002-12-31;297,30
2003-01-01;296,60
2003-01-02;297,00
2003-01-03;295,90
2003-01-04;295,20
2003-01-05;294,30
2003-01-06;295,00
2003-01-07;290,10
2003-01-08;289,60
2003-01-09;291,30
2003-01-10;292,10
2003-01-11;292,30
2003-01-12;293,40
2003-01-13;296,90
2003-01-14;298,70
2003-01-15;300,60
2003-01-16;301,00
2003-01-17;299,50
2003-01-18;299,40
2003-01-19;300,00
2003-01-20;298,90
2003-01-21;299,40
2003-01-22;299,60
2003-01-23;300,80
2003-01-24;300,80
2003-01-25;299,60
2003-01-26;294,90
2003-01-27;294,00
2003-01-28;295,10
