fecha;radsup
2002-12-30;14,47
2002-12-31;9,05
2003-01-01;23,03
2003-01-02;8,00
2003-01-03;6,66
2003-01-04;14,74
2003-01-05;22,70
2003-01-06;10,42
2003-01-07;27,15
2003-01-08;29,16
2003-01-09;29,04
2003-01-10;28,33
2003-01-11;28,84
2003-01-12;28,22
2003-01-13;27,81
2003-01-14;24,56
2003-01-15;26,61
2003-01-16;26,61
2003-01-17;28,03
2003-01-18;26,28
2003-01-19;24,90
2003-01-20;25,83
2003-01-21;24,23
2003-01-22;21,67
2003-01-23;11,92
2003-01-24;20,68
2003-01-25;16,15
2003-01-26;3,32
2003-01-27;16,33
2003-01-28;18,79
