fecha;tmin
2003-02-24;289,00
2003-02-25;294,20
2003-02-26;298,20
2003-02-27;298,40
2003-02-28;300,40
2003-03-01;301,40
2003-03-02;303,30
2003-03-03;301,50
2003-03-04;298,90
2003-03-05;296,70
2003-03-06;299,00
2003-03-07;302,50
2003-03-08;300,90
2003-03-09;299,10
2003-03-10;300,00
2003-03-11;298,60
2003-03-12;300,50
2003-03-13;301,90
2003-03-14;296,30
2003-03-15;296,70
2003-03-16;297,30
2003-03-17;297,00
2003-03-18;295,20
2003-03-19;292,40
2003-03-20;291,20
2003-03-21;291,20
2003-03-22;296,10
2003-03-23;293,80
2003-03-24;291,50
2003-03-25;292,60
