fecha;radsup
2008-12-15;13,98
2008-12-16;29,20
2008-12-17;25,40
2008-12-18;19,72
2008-12-19;15,62
2008-12-20;15,02
2008-12-21;6,59
2008-12-22;18,17
2008-12-23;24,79
2008-12-24;25,73
2008-12-25;19,52
2008-12-26;26,89
2008-12-27;27,61
2008-12-28;24,78
2008-12-29;30,28
2008-12-30;30,22
2008-12-31;25,83
2009-01-01;28,85
2009-01-02;23,88
2009-01-03;6,54
2009-01-04;6,24
2009-01-05;11,41
2009-01-06;23,27
2009-01-07;14,66
2009-01-08;6,59
2009-01-09;17,63
2009-01-10;25,19
2009-01-11;16,22
2009-01-12;11,26
2009-01-13;13,50
