fecha;precip
2009-02-20;3,59
2009-02-21;0,00
2009-02-22;0,39
2009-02-23;4,49
2009-02-24;4,43
2009-02-25;6,33
2009-02-26;0,19
2009-02-27;40,24
2009-02-28;64,99
2009-03-01;3,24
2009-03-02;0,13
2009-03-03;0,09
2009-03-04;60,83
2009-03-05;57,20
2009-03-06;0,13
2009-03-07;4,54
2009-03-08;5,44
2009-03-09;18,30
2009-03-10;5,14
2009-03-11;0,00
2009-03-12;0,00
2009-03-13;0,00
2009-03-14;0,00
2009-03-15;0,00
2009-03-16;0,09
2009-03-17;0,39
2009-03-18;13,69
2009-03-19;11,36
2009-03-20;3,13
2009-03-21;0,89
