fecha;precip
2009-02-20;0,02
2009-02-21;0,00
2009-02-22;0,13
2009-02-23;12,74
2009-02-24;7,75
2009-02-25;9,18
2009-02-26;21,38
2009-02-27;27,02
2009-02-28;23,39
2009-03-01;0,09
2009-03-02;0,17
2009-03-03;15,49
2009-03-04;42,10
2009-03-05;41,06
2009-03-06;0,00
2009-03-07;0,00
2009-03-08;3,48
2009-03-09;1,62
2009-03-10;9,29
2009-03-11;3,97
2009-03-12;0,00
2009-03-13;0,00
2009-03-14;0,00
2009-03-15;0,00
2009-03-16;0,00
2009-03-17;0,00
2009-03-18;2,38
2009-03-19;1,23
2009-03-20;9,20
2009-03-21;0,00
