fecha;tmin
2009-01-26;301,00
2009-01-27;298,50
2009-01-28;297,60
2009-01-29;297,70
2009-01-30;297,40
2009-01-31;298,70
2009-02-01;296,90
2009-02-02;295,70
2009-02-03;295,60
2009-02-04;295,20
2009-02-05;294,60
2009-02-06;295,00
2009-02-07;298,60
2009-02-08;302,20
2009-02-09;293,20
2009-02-10;290,70
2009-02-11;294,20
2009-02-12;295,40
2009-02-13;296,00
2009-02-14;294,60
2009-02-15;294,00
2009-02-16;294,60
2009-02-17;295,50
2009-02-18;296,90
2009-02-19;297,10
2009-02-20;295,80
2009-02-21;298,60
2009-02-22;296,00
2009-02-23;293,60
2009-02-24;293,20
