fecha;precip
2002-12-23;40,35
2002-12-24;0,00
2002-12-25;0,00
2002-12-26;0,00
2002-12-27;59,01
2002-12-28;5,90
2002-12-29;0,00
2002-12-30;32,55
2002-12-31;25,08
2003-01-01;0,00
2003-01-02;0,13
2003-01-03;0,11
2003-01-04;0,11
2003-01-05;0,02
2003-01-06;1,12
2003-01-07;23,28
2003-01-08;0,06
2003-01-09;51,47
2003-01-10;0,00
2003-01-11;0,00
2003-01-12;1,56
2003-01-13;13,05
2003-01-14;3,84
2003-01-15;25,96
2003-01-16;46,61
2003-01-17;6,80
2003-01-18;5,34
2003-01-19;0,00
2003-01-20;1,56
2003-01-21;0,00
