fecha;tmin
2002-12-23;287,30
2002-12-24;285,60
2002-12-25;287,00
2002-12-26;289,30
2002-12-27;295,10
2002-12-28;295,90
2002-12-29;294,80
2002-12-30;295,10
2002-12-31;297,20
2003-01-01;298,00
2003-01-02;299,40
2003-01-03;300,30
2003-01-04;300,90
2003-01-05;301,80
2003-01-06;302,40
2003-01-07;292,30
2003-01-08;290,10
2003-01-09;290,70
2003-01-10;290,30
2003-01-11;293,80
2003-01-12;297,30
2003-01-13;293,80
2003-01-14;291,10
2003-01-15;288,60
2003-01-16;290,10
2003-01-17;290,70
2003-01-18;295,80
2003-01-19;296,20
2003-01-20;295,40
2003-01-21;296,30
