fecha;hrmean
2009-01-14;61,51
2009-01-15;58,02
2009-01-16;56,85
2009-01-17;89,25
2009-01-18;87,02
2009-01-19;90,35
2009-01-20;85,50
2009-01-21;72,99
2009-01-22;62,10
2009-01-23;59,27
2009-01-24;55,22
2009-01-25;52,91
2009-01-26;51,40
2009-01-27;56,94
2009-01-28;88,07
2009-01-29;81,96
2009-01-30;90,34
2009-01-31;90,84
2009-02-01;79,22
2009-02-02;70,43
2009-02-03;52,23
2009-02-04;50,33
2009-02-05;83,71
2009-02-06;73,52
2009-02-07;63,22
2009-02-08;81,87
2009-02-09;73,17
2009-02-10;60,23
2009-02-11;60,48
2009-02-12;60,90
