fecha;velviento
2008-12-08;2,36
2008-12-09;2,35
2008-12-10;4,55
2008-12-11;5,73
2008-12-12;3,57
2008-12-13;2,38
2008-12-14;1,98
2008-12-15;2,65
2008-12-16;2,73
2008-12-17;2,69
2008-12-18;2,32
2008-12-19;3,46
2008-12-20;4,32
2008-12-21;3,84
2008-12-22;3,88
2008-12-23;4,07
2008-12-24;3,00
2008-12-25;1,74
2008-12-26;4,20
2008-12-27;4,23
2008-12-28;3,59
2008-12-29;1,79
2008-12-30;1,68
2008-12-31;2,18
2009-01-01;3,08
2009-01-02;2,77
2009-01-03;5,02
2009-01-04;4,98
2009-01-05;1,91
2009-01-06;1,34
