fecha;radsup
2008-12-08;24,23
2008-12-09;8,18
2008-12-10;24,00
2008-12-11;9,07
2008-12-12;27,47
2008-12-13;25,95
2008-12-14;19,87
2008-12-15;29,29
2008-12-16;28,74
2008-12-17;28,64
2008-12-18;16,15
2008-12-19;15,76
2008-12-20;27,79
2008-12-21;30,34
2008-12-22;30,32
2008-12-23;29,58
2008-12-24;29,35
2008-12-25;28,21
2008-12-26;28,94
2008-12-27;29,27
2008-12-28;25,82
2008-12-29;27,88
2008-12-30;28,23
2008-12-31;23,36
2009-01-01;6,63
2009-01-02;23,66
2009-01-03;29,63
2009-01-04;26,31
2009-01-05;23,19
2009-01-06;29,16
